cont_id,gender,age_years,highest_edu,annual_invest,annual_income,activity_level,churn,cust_id,total_txns,total_txn_amount,avg_txn_amount,avg_daily_txns
1009525770,MALE,24.5,1,0.0,22318.0,2,0,1009525770,104,4159.56,39.995769230769234,0.28493150684931506
1009525780,FEMALE,35.21,1,0.0,13473.0,4,0,1009525780,101,4027.4900000000025,39.876138613861414,0.27671232876712326
1009525782,MALE,58.51,1,0.0,18267.0,0,0,1009525782,100,3927.9200000000023,39.279200000000024,0.273972602739726
1009525785,FEMALE,31.1,2,111192.0,129276.0,2,0,1009525785,248,10428.48,42.05032258064516,0.6794520547945205
1009525788,FEMALE,49.84,1,0.0,17867.0,2,0,1009525788,69,3591.6099999999997,52.05231884057971,0.18904109589041096
1009525791,MALE,53.33,1,0.0,17576.0,1,0,1009525791,48,1353.6799999999998,28.201666666666664,0.13150684931506848
1009525794,MALE,47.72,3,90419.0,111569.0,5,0,1009525794,71,5248.020000000001,73.91577464788735,0.19452054794520549
1009525797,FEMALE,48.46,2,11258.0,20142.0,1,1,1009525797,53,1651.22,31.155094339622643,0.14520547945205478
1009525800,MALE,36.29,4,0.0,13900.0,1,1,1009525800,166,6297.1900000000005,37.93487951807229,0.4547945205479452
1009525803,MALE,47.09,1,0.0,17678.0,2,0,1009525803,191,7938.699999999999,41.563874345549735,0.5232876712328767
1009525806,MALE,41.47,1,0.0,20747.0,2,0,1009525806,239,6713.149999999999,28.088493723849368,0.6547945205479452
1009525809,FEMALE,38.64,4,0.0,22684.0,1,0,1009525809,137,4253.18,31.045109489051097,0.37534246575342467
1009525812,FEMALE,79.02,4,0.0,18594.0,1,0,1009525812,195,16601.950000000008,85.13820512820517,0.5342465753424658
1009525815,MALE,44.76,4,13635.0,31180.0,2,1,1009525815,254,7571.309999999997,29.80830708661416,0.6958904109589041
1009525818,MALE,31.89,1,0.0,21980.0,1,0,1009525818,238,6554.429999999997,27.539621848739483,0.6520547945205479
1009525821,MALE,68.35,1,0.0,20891.0,2,0,1009525821,255,8982.25000000001,35.224509803921606,0.6986301369863014
1009525824,FEMALE,34.2,4,7088.0,38005.0,0,1,1009525824,239,16820.059999999998,70.376820083682,0.6547945205479452
1009525827,MALE,64.3,1,0.0,16650.0,1,0,1009525827,254,9863.120000000004,38.83118110236222,0.6958904109589041
1009525830,FEMALE,27.66,1,0.0,19226.0,2,1,1009525830,237,7227.499999999996,30.495780590717285,0.6493150684931507
1009525833,FEMALE,57.83,4,9669.0,32600.0,2,0,1009525833,67,2567.259999999999,38.3173134328358,0.18356164383561643
1009525836,FEMALE,26.76,1,0.0,17812.0,0,1,1009525836,143,6350.0599999999995,44.40601398601398,0.3917808219178082
1009525839,FEMALE,36.12,1,0.0,15069.0,3,0,1009525839,240,8192.55,34.135625,0.6575342465753424
1009525842,FEMALE,36.13,4,0.0,15069.0,3,0,1009525842,258,7638.239999999993,29.60558139534881,0.7068493150684931
1009525845,MALE,58.16,4,12402.0,34229.0,2,0,1009525845,49,1312.1499999999996,26.77857142857142,0.13424657534246576
1009525848,FEMALE,38.24,4,0.0,14419.0,3,0,1009525848,30,1109.3,36.97666666666667,0.0821917808219178
1009525851,FEMALE,47.58,1,0.0,29969.0,2,0,1009525851,243,8223.850000000002,33.84300411522635,0.6657534246575343
1009525854,MALE,33.27,1,0.0,25313.0,2,0,1009525854,255,8030.020000000002,31.490274509803932,0.6986301369863014
1009525857,MALE,57.32,2,11331.0,40597.0,3,0,1009525857,189,15960.189999999993,84.4454497354497,0.5178082191780822
1009525860,MALE,36.04,1,0.0,15959.0,2,0,1009525860,94,8131.920000000003,86.50978723404258,0.25753424657534246
1009525863,MALE,22.29,1,0.0,16832.0,2,1,1009525863,128,9598.109999999999,74.98523437499999,0.3506849315068493
1009525866,MALE,72.78,1,0.0,19673.0,1,1,1009525866,67,8823.879999999996,131.69970149253726,0.18356164383561643
1009525869,FEMALE,40.88,4,0.0,17312.0,2,0,1009525869,32,1934.8400000000006,60.46375000000002,0.08767123287671233
1009525872,MALE,62.07,1,0.0,17599.0,2,1,1009525872,91,4539.4800000000005,49.88439560439561,0.2493150684931507
1009525875,MALE,72.6,4,0.0,15869.0,4,0,1009525875,242,8793.149999999996,36.335330578512384,0.663013698630137
1009525878,MALE,53.22,4,11270.0,25854.0,3,0,1009525878,236,12773.049999999997,54.12309322033897,0.6465753424657534
1009525881,MALE,86.16,1,0.0,15385.0,2,0,1009525881,246,6555.770000000007,26.649471544715475,0.673972602739726
1009525884,FEMALE,65.9,1,0.0,19061.0,4,0,1009525884,51,2069.89,40.58607843137255,0.13972602739726028
1009525887,MALE,35.43,2,11349.0,20414.0,0,1,1009525887,239,6963.140000000003,29.134476987447712,0.6547945205479452
1009525890,MALE,33.33,3,108146.0,147931.0,0,1,1009525890,304,39838.73999999999,131.04848684210523,0.8328767123287671
1009525893,FEMALE,48.25,1,0.0,13119.0,1,0,1009525893,249,8331.27,33.458915662650604,0.6821917808219178
1009525896,FEMALE,44.8,1,0.0,20636.0,4,0,1009525896,240,7629.229999999996,31.788458333333317,0.6575342465753424
